STATISTIC,Statistic Label,TLIST(W1),Year,C03910V04662,Transport Traffic Site,C01198V01436,Weeks of the year,UNIT,VALUE
THA22C01,Average weekly volume of heavy goods vehicles,2020,2020,10,Selected traffic sites - Dublin,52,Week 52,Number,25598.0
THA22C01,Average weekly volume of heavy goods vehicles,2020,2020,10,Selected traffic sites - Dublin,53,Week 53,Number,15878.0
THA22C01,Average weekly volume of heavy goods vehicles,2020,2020,20,Selected traffic sites - Regional,1,Week 01,Number,7676.0
THA22C01,Average weekly volume of heavy goods vehicles,2020,2020,20,Selected traffic sites - Regional,2,Week 02,Number,14148.0
THA22C01,Average weekly volume of heavy goods vehicles,2020,2020,20,Selected traffic sites - Regional,3,Week 03,Number,14236.0
THA22C01,Average weekly volume of heavy goods vehicles,2020,2020,20,Selected traffic sites - Regional,4,Week 04,Number,14918.0
THA22C01,Average weekly volume of heavy goods vehicles,2020,2020,20,Selected traffic sites - Regional,5,Week 05,Number,15038.0
THA22C01,Average weekly volume of heavy goods vehicles,2020,2020,20,Selected traffic sites - Regional,6,Week 06,Number,15084.0
THA22C01,Average weekly volume of heavy goods vehicles,2020,2020,20,Selected traffic sites - Regional,7,Week 07,Number,14686.0
THA22C01,Average weekly volume of heavy goods vehicles,2020,2020,20,Selected traffic sites - Regional,8,Week 08,Number,15090.0
THA22C01,Average weekly volume of heavy goods vehicles,2020,2020,20,Selected traffic sites - Regional,9,Week 09,Number,15032.0
THA22C01,Average weekly volume of heavy goods vehicles,2020,2020,20,Selected traffic sites - Regional,10,Week 10,Number,15651.0
THA22C01,Average weekly volume of heavy goods vehicles,2020,2020,20,Selected traffic sites - Regional,11,Week 11,Number,15966.0
THA22C01,Average weekly volume of heavy goods vehicles,2020,2020,20,Selected traffic sites - Regional,12,Week 12,Number,13854.0
THA22C01,Average weekly volume of heavy goods vehicles,2020,2020,20,Selected traffic sites - Regional,13,Week 13,Number,15147.0
THA22C01,Average weekly volume of heavy goods vehicles,2020,2020,20,Selected traffic sites - Regional,14,Week 14,Number,11202.0
THA22C01,Average weekly volume of heavy goods vehicles,2020,2020,20,Selected traffic sites - Regional,15,Week 15,Number,10674.0
THA22C01,Average weekly volume of heavy goods vehicles,2020,2020,20,Selected traffic sites - Regional,16,Week 16,Number,9523.0
